Award Year,Organization Receiving Award,Use of Funds,Award Type,Amount,Type of Assistance
FY2021,Westside Tavern,Operational Assistance,Grant,21000,Commercial Rent Relief and Operational Assistance
FY2021,Shari's,Operational Assistance,Grant,58000,Commercial Rent Relief and Operational Assistance
FY2021,Dara Robertson DBA Fringe,Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,Hola 1,Operational Assistance,Grant,24000,Commercial Rent Relief and Operational Assistance
FY2021,Ritual Beauty Bar,Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,Geraldine Casimiro,Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,Three Sisters Saloon Inc.,Operational Assistance,Grant,36000,Commercial Rent Relief and Operational Assistance
FY2021,Esta Bien Bend LLC,Operational Assistance,Grant,20000,Commercial Rent Relief and Operational Assistance
FY2021,San Simon (Trotstock LLC),Operational Assistance,Grant,20000,Commercial Rent Relief and Operational Assistance
FY2021,"TKE Restaurants, LLC",Operational Assistance,Grant,20000,Commercial Rent Relief and Operational Assistance
FY2021,Katrina Gering,Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,Amber Donnelly Hair Design,Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,Hair Design by Marcy,Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,MOOSE SISTERS,Operational Assistance,Grant,20000,Commercial Rent Relief and Operational Assistance
FY2021,Boardman Subway,Operational Assistance,Grant,24000,Commercial Rent Relief and Operational Assistance
FY2021,Fat Irish Kitchen and Pub,Operational Assistance,Grant,72000,Commercial Rent Relief and Operational Assistance
FY2021,Misty Mountain Brewing LLC,Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,YIN LLC,Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,Reflections salon llc,Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,Uptown salon,Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,KHUN THAI,Operational Assistance,Grant,30000,Commercial Rent Relief and Operational Assistance
FY2021,Gina?s Barbershop,Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,Kaya Sushi & Noodle House LLC,Operational Assistance,Grant,20000,Commercial Rent Relief and Operational Assistance
FY2021,Tropicália Brazilian Cuisine,Operational Assistance,Grant,20000,Commercial Rent Relief and Operational Assistance
FY2021,La Flor De Mexico INC.,Operational Assistance,Grant,20000,Commercial Rent Relief and Operational Assistance
FY2021,Fireside Grill LLC,Operational Assistance,Grant,24000,Commercial Rent Relief and Operational Assistance
FY2021,Chetco Brewing Company,Operational Assistance,Grant,20000,Commercial Rent Relief and Operational Assistance
FY2021,Nails by Kayla,Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,Studio 20- Kira Wall Hair,Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,Glory days pizza,Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,Harney County Fitness,Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,CRANE STORE AND CAFE,Operational Assistance,Grant,20000,Commercial Rent Relief and Operational Assistance
FY2021,Vintage Beauty,Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,Annie's Bakery,Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,Elkhorn Club & Linda's Thai Room,Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,Desert Historic Theatre,Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,Saro LLC DBA El Toreo Mexican Restaurant,Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,Pine Room,Operational Assistance,Grant,33000,Commercial Rent Relief and Operational Assistance
FY2021,Rising Phoenix Martial Arts LLC,Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,Bella Java & Bistro,Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,Beauty on Broadway,Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,Chris' Barber Shop,Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,KC's Headquarters,Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,"Kool Canadian Kids, LLC",Operational Assistance,Grant,42000,Commercial Rent Relief and Operational Assistance
FY2021,Grasshopper Sandwhiches,Operational Assistance,Grant,21000,Commercial Rent Relief and Operational Assistance
FY2021,RJ's Restaurant,Operational Assistance,Grant,20000,Commercial Rent Relief and Operational Assistance
FY2021,Anna McNab LMT,Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,Great basin herbs and massage,Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,ROLO LLC dba Hola Restaurant,Operational Assistance,Grant,20000,Commercial Rent Relief and Operational Assistance
FY2021,"Canby-Denn, Inc",Operational Assistance,Grant,75000,Commercial Rent Relief and Operational Assistance
FY2021,Seasons Cafe,Operational Assistance,Grant,20000,Commercial Rent Relief and Operational Assistance
FY2021,Cannon Beach Yoga Arts,Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,The Local Grill & Scoop,Operational Assistance,Grant,51000,Commercial Rent Relief and Operational Assistance
FY2021,MacGregors of Cannon Beach,Operational Assistance,Grant,21000,Commercial Rent Relief and Operational Assistance
FY2021,Bald Eagle Coffee House,Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,"Cannon Beach Salon, LLC",Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,Cannon Beach Fitness,Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,Sea Level Bakery & Coffee,Operational Assistance,Grant,51000,Commercial Rent Relief and Operational Assistance
FY2021,Insomnia Coffee Company Cannon Beach,Operational Assistance,Grant,21000,Commercial Rent Relief and Operational Assistance
FY2021,"Ocean Spa, Inc",Operational Assistance,Grant,20000,Commercial Rent Relief and Operational Assistance
FY2021,The Cannon Beach Spa,Operational Assistance,Grant,21000,Commercial Rent Relief and Operational Assistance
FY2021,Pig N Pancake - Cannon Beach,Operational Assistance,Grant,66000,Commercial Rent Relief and Operational Assistance
FY2021,"Public Coast Pub, LLC",Operational Assistance,Grant,45000,Commercial Rent Relief and Operational Assistance
FY2021,Wayfarer Restaurant,Operational Assistance,Grant,75000,Commercial Rent Relief and Operational Assistance
FY2021,Cannon Beach Escape Room,Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,Station 62 LLC,Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,"BHS,Inc. DBA Cuvee Restaurant",Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,Brigham Fish Market,Operational Assistance,Grant,24000,Commercial Rent Relief and Operational Assistance
FY2021,The Point Pub and Grill LLC,Operational Assistance,Grant,57000,Commercial Rent Relief and Operational Assistance
FY2021,5 Elements Massage and Wellness,Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,Mirror Image,Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,Shari's,Operational Assistance,Grant,7000,Commercial Rent Relief and Operational Assistance
FY2021,Tambry Ventures South Oregon LLC,Operational Assistance,Grant,20000,Commercial Rent Relief and Operational Assistance
FY2021,Touvelle Lodge,Operational Assistance,Grant,20000,Commercial Rent Relief and Operational Assistance
FY2021,Anytime Fitness,Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,Justine garrett,Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,Thai Garden,Operational Assistance,Grant,20000,Commercial Rent Relief and Operational Assistance
FY2021,The Hubb,Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,SRT INVESTMENT CHARLEYS LLC dba Charley's Philly Steaks,Operational Assistance,Grant,20000,Commercial Rent Relief and Operational Assistance
FY2021,Life-Giving Touch Massage LLC,Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,T4-HV Inc,Operational Assistance,Grant,27000,Commercial Rent Relief and Operational Assistance
FY2021,The Old Spaghetti Factory,Operational Assistance,Grant,100000,Commercial Rent Relief and Operational Assistance
FY2021,Monarch Hotel & Conference Center,Operational Assistance,Grant,100000,Commercial Rent Relief and Operational Assistance
FY2021,Fit and Phat Fitness,Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,Ixtapa Clatskanie Inc dba Ixtapa Mexican Restaurant,Operational Assistance,Grant,20000,Commercial Rent Relief and Operational Assistance
FY2021,MARY MAACK,Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,Pacific Athletic Club,Operational Assistance,Grant,20000,Commercial Rent Relief and Operational Assistance
FY2021,Wendy steele,Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,"DHFITNESS, LLC.",Operational Assistance,Grant,20000,Commercial Rent Relief and Operational Assistance
FY2021,Kayce Jones LMT,Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,Pulse Electrolysis And Esthetics,Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,NISARAT AND SURAKIT LLC dba EZ Thai Restaurant,Operational Assistance,Grant,24000,Commercial Rent Relief and Operational Assistance
FY2021,"Noster Kitchen, LLC",Operational Assistance,Grant,20000,Commercial Rent Relief and Operational Assistance
FY2021,Palmer restaurant llc dba blue heron,Operational Assistance,Grant,20000,Commercial Rent Relief and Operational Assistance
FY2021,Ocean Breeze Massage,Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,Subway 10880,Operational Assistance,Grant,20000,Commercial Rent Relief and Operational Assistance
FY2021,Subway 48729,Operational Assistance,Grant,20000,Commercial Rent Relief and Operational Assistance
FY2021,Crabby Cakes Bakery LLC,Operational Assistance,Grant,20000,Commercial Rent Relief and Operational Assistance
FY2021,Carla Mobley,Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,So It Goes Coffeehouse,Operational Assistance,Grant,20000,Commercial Rent Relief and Operational Assistance
FY2021,Hair Co EtcSalon & Day Spa,Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,Coach House,Operational Assistance,Grant,69000,Commercial Rent Relief and Operational Assistance
FY2021,Darrell's Devils Food LLC,Operational Assistance,Grant,20000,Commercial Rent Relief and Operational Assistance
FY2021,Momentum Fitness,Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,Frazier's Bakery & Restaurant,Operational Assistance,Grant,27000,Commercial Rent Relief and Operational Assistance
FY2021,Subway 55724,Operational Assistance,Grant,20000,Commercial Rent Relief and Operational Assistance
FY2021,"CHINESE KITCHEN RESTAURANT, INC",Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,The coffee connection,Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,Samms Haircare,Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,N & M Holdings dba Great Clips,Operational Assistance,Grant,20000,Commercial Rent Relief and Operational Assistance
FY2021,New Morning Bakery Inc.,Operational Assistance,Grant,75000,Commercial Rent Relief and Operational Assistance
FY2021,SHOP Training LLC,Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,Sakamoto Holdings Inc. dba Sada Sushi & Izakaya,Operational Assistance,Grant,51000,Commercial Rent Relief and Operational Assistance
FY2021,Ai Ramen LLC,Operational Assistance,Grant,20000,Commercial Rent Relief and Operational Assistance
FY2021,Pie Five Pizza,Operational Assistance,Grant,20000,Commercial Rent Relief and Operational Assistance
FY2021,"Precision Martial Arts, LLC",Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,Oregon Permanent Makeup,Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,Togo's,Operational Assistance,Grant,42000,Commercial Rent Relief and Operational Assistance
FY2021,Orangetheory Fitness Corvallis,Operational Assistance,Grant,21000,Commercial Rent Relief and Operational Assistance
FY2021,Willamette Valley Power Yoga,Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,LeRuby LLC DBA barre3 corvallis,Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,Cedar and Sage,Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,"Corvallis-Denn, LLC dba Benchwarmers Bar & Grill",Operational Assistance,Grant,33000,Commercial Rent Relief and Operational Assistance
FY2021,Ukiah Partnership DBA Thai Express,Operational Assistance,Grant,24000,Commercial Rent Relief and Operational Assistance
FY2021,Patsy Brows & Beauty Academy LLC,Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,The Scarlet Veil Tattoo Parlor LLC,Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,Salon Renew,Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,Block 15 Restaurant & Brewery,Operational Assistance,Grant,75000,Commercial Rent Relief and Operational Assistance
FY2021,Tyee Wine Cellars,Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,The Biere Library LLC.,Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,Body of Health,Operational Assistance,Grant,20000,Commercial Rent Relief and Operational Assistance
FY2021,J3R LLC dba Anytime Fitness,Operational Assistance,Grant,20000,Commercial Rent Relief and Operational Assistance
FY2021,Creswell Bakery,Operational Assistance,Grant,75000,Commercial Rent Relief and Operational Assistance
FY2021,Polk County Family Massage,Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,Washington St Steakhouse & Pub,Operational Assistance,Grant,63000,Commercial Rent Relief and Operational Assistance
FY2021,Daniel Priebe Brazilian Jiu Jitsu LLC,Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,Jeff Mexico LLC,Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,Cafe C'est La Vie,Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,"Spouting Horn Brew Pub, Inc",Operational Assistance,Grant,66000,Commercial Rent Relief and Operational Assistance
FY2021,GRACIES SEA HAG INC,Operational Assistance,Grant,75000,Commercial Rent Relief and Operational Assistance
FY2021,Left Coast Coffee Co.,Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,Mazatlan Mexican Restaurant,Operational Assistance,Grant,21000,Commercial Rent Relief and Operational Assistance
FY2021,Asiatico Asian Kitchen,Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,Studio Tattoo,Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,Mangia You Food LLC dba Dundee Bistro,Operational Assistance,Grant,75000,Commercial Rent Relief and Operational Assistance
FY2021,Buttercreek Coffeehouse and Mercantile,Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,Timbers Feedery,Operational Assistance,Grant,20000,Commercial Rent Relief and Operational Assistance
FY2021,All for You Salon and More,Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,P & R Stations LLC,Operational Assistance,Grant,20000,Commercial Rent Relief and Operational Assistance
FY2021,"Terminal Gravity Brewing, Inc.",Operational Assistance,Grant,75000,Commercial Rent Relief and Operational Assistance
FY2021,Red Rooster Cafe,Operational Assistance,Grant,20000,Commercial Rent Relief and Operational Assistance
FY2021,Belle Salon LLC,Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,Hurricane Point Fitness,Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,Expozed Ink LLC,Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,Oakshire Brewing,Operational Assistance,Grant,20000,Commercial Rent Relief and Operational Assistance
FY2021,LOS POTRILLOS CORPORATION 2,Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,Revelers Aerial Works,Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,"Cornbread Cafe, LLC",Operational Assistance,Grant,75000,Commercial Rent Relief and Operational Assistance
FY2021,Screamin' Jay's LLC,Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,BerryHill Beauty,Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,"GC Investments, Inc",Operational Assistance,Grant,75000,Commercial Rent Relief and Operational Assistance
FY2021,Novella Cafe,Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,McKenzie Brewing Company,Operational Assistance,Grant,66000,Commercial Rent Relief and Operational Assistance
FY2021,marntod concepts LLC DBA Cafe 440,Operational Assistance,Grant,66000,Commercial Rent Relief and Operational Assistance
FY2021,CR Squared,Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,"Renaissance Therapeutic Massage, Inc DBA Footloose Massage Center",Operational Assistance,Grant,36000,Commercial Rent Relief and Operational Assistance
FY2021,Bounce Gymnastics Inc.,Operational Assistance,Grant,42000,Commercial Rent Relief and Operational Assistance
FY2021,LBASS COSMETICS AND SKINCARE,Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,Powder RIver Associates DBA Pegasus Pizza,Operational Assistance,Grant,48000,Commercial Rent Relief and Operational Assistance
FY2021,Wild Light Yoga Center,Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,"C.J. Eateries, LLC",Operational Assistance,Grant,20000,Commercial Rent Relief and Operational Assistance
FY2021,skurf III INC DBA Wayback Burger,Operational Assistance,Grant,36000,Commercial Rent Relief and Operational Assistance
FY2021,Don Juans Mexican Restaurant INC,Operational Assistance,Grant,21000,Commercial Rent Relief and Operational Assistance
FY2021,Downtown Athletic Club,Operational Assistance,Grant,75000,Commercial Rent Relief and Operational Assistance
FY2021,OYAZIYA LLC dba Izakaya Jinsei,Operational Assistance,Grant,20000,Commercial Rent Relief and Operational Assistance
FY2021,Pho The Good Times LLC,Operational Assistance,Grant,36000,Commercial Rent Relief and Operational Assistance
FY2021,The Horsehead,Operational Assistance,Grant,42000,Commercial Rent Relief and Operational Assistance
FY2021,Oregon Ballet Academy,Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,Bennett Vineyards & Wine Company,Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,Mad Ventures LLC dba Houndstooth Public House,Operational Assistance,Grant,20000,Commercial Rent Relief and Operational Assistance
FY2021,Old Nick?s Pub,Operational Assistance,Grant,36000,Commercial Rent Relief and Operational Assistance
FY2021,"Briggs-Le, LLC",Operational Assistance,Grant,20000,Commercial Rent Relief and Operational Assistance
FY2021,Chikara Salon and Spa,Operational Assistance,Grant,24000,Commercial Rent Relief and Operational Assistance
FY2021,All That! Dance Company,Operational Assistance,Grant,20000,Commercial Rent Relief and Operational Assistance
FY2021,Noemi Ferrigno (Esthetician),Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,Hair Ink,Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,Slow Lane Barber Shop,Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,The Webfoot Bar and Grill,Operational Assistance,Grant,27000,Commercial Rent Relief and Operational Assistance
FY2021,Digital Frontiers LLC,Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,Mama Mayra Kitchen,Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,BARTINI SPHERE INC.,Operational Assistance,Grant,20000,Commercial Rent Relief and Operational Assistance
FY2021,"Around the Table, Inc. DBA The Waterfront Depot",Operational Assistance,Grant,39000,Commercial Rent Relief and Operational Assistance
FY2021,River Roasters,Operational Assistance,Grant,20000,Commercial Rent Relief and Operational Assistance
FY2021,"Align, Refresh & Renew",Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,Fresh Harvest Cafe,Operational Assistance,Grant,24000,Commercial Rent Relief and Operational Assistance
FY2021,off bay street bistro,Operational Assistance,Grant,20000,Commercial Rent Relief and Operational Assistance
FY2021,Krystle chiang,Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,Lovejoy's Restaurant & tea Room,Operational Assistance,Grant,20000,Commercial Rent Relief and Operational Assistance
FY2021,Mo's Seafood & Chowder,Operational Assistance,Grant,75000,Commercial Rent Relief and Operational Assistance
FY2021,Bay Street Grille,Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,Bonvie Nail Spa,Operational Assistance,Grant,20000,Commercial Rent Relief and Operational Assistance
FY2021,Ridgewalker Brewing Company LLC,Operational Assistance,Grant,33000,Commercial Rent Relief and Operational Assistance
FY2021,Dauntless Wine Company,Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,UNME CORP,Operational Assistance,Grant,20000,Commercial Rent Relief and Operational Assistance
FY2021,"The Pancake House, Inc.",Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,The Ghost Hole Public House inc,Operational Assistance,Grant,20000,Commercial Rent Relief and Operational Assistance
FY2021,The MistyKitt LLC dba Garibaldi Portside Bistro,Operational Assistance,Grant,30000,Commercial Rent Relief and Operational Assistance
FY2021,Kona Food Service Limited,Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,Iron Den,Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,Gladstone High Rocks Inc,Operational Assistance,Grant,36000,Commercial Rent Relief and Operational Assistance
FY2021,The Bay House at Salishan,Operational Assistance,Grant,36000,Commercial Rent Relief and Operational Assistance
FY2021,Gentlemen's Hair Co. LLC,Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,Hoobler Brown LLC,Operational Assistance,Grant,20000,Commercial Rent Relief and Operational Assistance
FY2021,Anna's - by the sea,Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,Indian Creek Cafe Inc,Operational Assistance,Grant,27000,Commercial Rent Relief and Operational Assistance
FY2021,SPINNERS SEAFOOD STEAK & CHOPHOUSE,Operational Assistance,Grant,57000,Commercial Rent Relief and Operational Assistance
FY2021,Arch Rock Brewing Company,Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,the crows nest,Operational Assistance,Grant,20000,Commercial Rent Relief and Operational Assistance
FY2021,Full Moon Tanning,Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,Porthole Cafe,Operational Assistance,Grant,45000,Commercial Rent Relief and Operational Assistance
FY2021,The Landing North,Operational Assistance,Grant,39000,Commercial Rent Relief and Operational Assistance
FY2021,"Sunny Patch Ranch, LLC",Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,"Club Oregon, LLC",Operational Assistance,Grant,100000,Commercial Rent Relief and Operational Assistance
FY2021,The Sound Lounge LLC,Operational Assistance,Grant,20000,Commercial Rent Relief and Operational Assistance
FY2021,The Haul,Operational Assistance,Grant,69000,Commercial Rent Relief and Operational Assistance
FY2021,The Twisted Cork LLC,Operational Assistance,Grant,24000,Commercial Rent Relief and Operational Assistance
FY2021,"Musashi,Inc",Operational Assistance,Grant,24000,Commercial Rent Relief and Operational Assistance
FY2021,vice brewing company,Operational Assistance,Grant,20000,Commercial Rent Relief and Operational Assistance
FY2021,Studio VIP,Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,Serendipity Studio LLc,Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,Matsukaze Inc.,Operational Assistance,Grant,51000,Commercial Rent Relief and Operational Assistance
FY2021,Flespy's Bar and Grill,Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,BAAN MAI THAI CUISINE CORPORATION,Operational Assistance,Grant,20000,Commercial Rent Relief and Operational Assistance
FY2021,Wayne Owen Fighting Arts,Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,bread and butter llc dba The Horny Goat,Operational Assistance,Grant,33000,Commercial Rent Relief and Operational Assistance
FY2021,Climate City Brewing Co,Operational Assistance,Grant,24000,Commercial Rent Relief and Operational Assistance
FY2021,Eddy's Grill LLC,Operational Assistance,Grant,21000,Commercial Rent Relief and Operational Assistance
FY2021,Bohemian Bar & Bistro,Operational Assistance,Grant,39000,Commercial Rent Relief and Operational Assistance
FY2021,"Cedarwood Saloon, Inc.",Operational Assistance,Grant,21000,Commercial Rent Relief and Operational Assistance
FY2021,Enchanted Beauty Salon LLC,Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,Speak Easy Tap Room,Operational Assistance,Grant,20000,Commercial Rent Relief and Operational Assistance
FY2021,La Burrita Mexican restaurant & grill,Operational Assistance,Grant,24000,Commercial Rent Relief and Operational Assistance
FY2021,Rogue Roasters llc,Operational Assistance,Grant,33000,Commercial Rent Relief and Operational Assistance
FY2021,Feel Good Fitness & Massage LLC,Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,Lisa Craig Massage Therapy,Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,Southgate Cinema,Operational Assistance,Grant,36000,Commercial Rent Relief and Operational Assistance
FY2021,Tambry Ventures South Oregon,Operational Assistance,Grant,21000,Commercial Rent Relief and Operational Assistance
FY2021,Tambry Ventures South Oregon LLC,Operational Assistance,Grant,20000,Commercial Rent Relief and Operational Assistance
FY2021,FJMPF Grants Pass dba Planet Fitness,Operational Assistance,Grant,33000,Commercial Rent Relief and Operational Assistance
FY2021,Shari's,Operational Assistance,Grant,75000,Commercial Rent Relief and Operational Assistance
FY2021,Schmidt Family Vineyards,Operational Assistance,Grant,54000,Commercial Rent Relief and Operational Assistance
FY2021,"One Fifteen Broiler, LLC",Operational Assistance,Grant,21000,Commercial Rent Relief and Operational Assistance
FY2021,RnR Salon and Barbershop,Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,Kayleigh Ferrell,Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,En vogue beauty LLC,Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,Kim's Hair Cutting Studio,Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,Division Sports Pub,Operational Assistance,Grant,20000,Commercial Rent Relief and Operational Assistance
FY2021,Cedarville Inn,Operational Assistance,Grant,33000,Commercial Rent Relief and Operational Assistance
FY2021,"La Carreta of Gresham, Inc",Operational Assistance,Grant,69000,Commercial Rent Relief and Operational Assistance
FY2021,SRI SIAMCHAI THAI RESTAURANT,Operational Assistance,Grant,20000,Commercial Rent Relief and Operational Assistance
FY2021,Elmers Restaurants Inc dba Elmers Breakfast Lunch Dinner,Operational Assistance,Grant,75000,Commercial Rent Relief and Operational Assistance
FY2021,Lee's Garden,Operational Assistance,Grant,20000,Commercial Rent Relief and Operational Assistance
FY2021,Dawn Dammann,Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,Haines Steak House,Operational Assistance,Grant,20000,Commercial Rent Relief and Operational Assistance
FY2021,Brow Betty 3 LLC,Operational Assistance,Grant,20000,Commercial Rent Relief and Operational Assistance
FY2021,Sushi Express OR INC,Operational Assistance,Grant,27000,Commercial Rent Relief and Operational Assistance
FY2021,Aspire Total Fitness,Operational Assistance,Grant,10000,Commercial Rent Relief and Operational Assistance
